team,round,Q,answer,correct
Days of Auld Lang-xiety,3,7,The Blue Wave,Y
Diminishing Returns,3,7,Electoral college,Y
Losing 21 in 2021,3,7,inequality,
Mile High Owls,3,7,538 likelihood  of election outcomes,Y
Netflix & Quill,3,7,Demographic voting,
Quaranteam 2020,3,7,Popular vote,
Weens <();:::::::::::::::;~,3,7,The blue wave ,Y
Zack and Hyejin,3,7,Electoral college prediction,Y
"5,000 Candles in the Wind",3,8,Most-mentioned people in NYT articles,
Bébé Yoda,3,8,Covid spreaders/events/contact,
Blue Taran-dactyls,3,8,COVID positive politicians/public figures ,
Days of Auld Lang-xiety,3,8,Who Trump interacted with the most.,
Diminishing Returns,3,8,Times mentioned on Fox News,
Losing 21 in 2021,3,8,cabinet members with covid,
Mile High Owls,3,8,Coronavirus contact tracing,
Netflix & Quill,3,8,Number of times person was mentioned on fox news,
Quaranteam 2020,3,8,Trump’s Covid contract tracing,
Weens <();:::::::::::::::;~,3,8,Twitter followers of republicans ,
Zack and Hyejin,3,8,Number of times these people downplayed Covid ,
"5,000 Candles in the Wind",4,1,Mount Rushmore,Y
Bébé Yoda,4,1,Smithsonian,
Blue Taran-dactyls,4,1,Mount Rushmore,Y
Days of Auld Lang-xiety,4,1,Mount Rushmore,Y
Diminishing Returns,4,1,Mount Rushmore,Y
Losing 21 in 2021,4,1,Lincoln Memorial,
Mile High Owls,4,1,Mount Rushmore,Y
Netflix & Quill,4,1,Mount Rushmore,Y
Quaranteam 2020,4,1,Mt Rushmore,Y
Weens <();:::::::::::::::;~,4,1,Mount Rushmore ,Y
Zack and Hyejin,4,1,Mount rushmore,Y
"5,000 Candles in the Wind",4,2,Johnny Walker,Y
Bébé Yoda,4,2,Jameson,
Blue Taran-dactyls,4,2,Johnny Walker,Y
Days of Auld Lang-xiety,4,2,Glenlivet,
Diminishing Returns,4,2,Jameson,
Losing 21 in 2021,4,2,glen livet,
Mile High Owls,4,2,Johnny Walker,Y
Netflix & Quill,4,2,Johnny Walker,Y
Quaranteam 2020,4,2,Johnny Walker,Y
Weens <();:::::::::::::::;~,4,2,Dewars,
Zack and Hyejin,4,2,Macallan,
"5,000 Candles in the Wind",4,3,Taylor Swift,
Bébé Yoda,4,3,Taylor smith,
Blue Taran-dactyls,4,3,Drake,Y
Days of Auld Lang-xiety,4,3,Taylor Swift,
Diminishing Returns,4,3,Bob Dylan,
Losing 21 in 2021,4,3,justin bieber,
Mile High Owls,4,3,Eminem,
Netflix & Quill,4,3,Taylor Swift,
Quaranteam 2020,4,3,Beyoncé,
Weens <();:::::::::::::::;~,4,3,Taylor Swift why is t there a folklore question here,
Zack and Hyejin,4,3,Taylor swift,
"5,000 Candles in the Wind",4,4,Breakdancing,
Bébé Yoda,4,4,Speed free/rock climbing,Y
Blue Taran-dactyls,4,4,Skateboarding,Y
Days of Auld Lang-xiety,4,4,Ping pong,
Diminishing Returns,4,4,Rock Climbing,Y
Losing 21 in 2021,4,4,surfing,Y
Mile High Owls,4,4,Rock climbing,Y
Netflix & Quill,4,4,Climbing and Break dancing,Y
Quaranteam 2020,4,4,Naginata,
Weens <();:::::::::::::::;~,4,4,Surfing,Y
Zack and Hyejin,4,4,Break dancing,
"5,000 Candles in the Wind",4,5,Michelle Obama,Y
Bébé Yoda,4,5,Obama,
Blue Taran-dactyls,4,5,John Kasich,
Days of Auld Lang-xiety,4,5,Michelle Obama,Y
Diminishing Returns,4,5,Michelle Obama,Y
Losing 21 in 2021,4,5,michelle obama,Y
Mile High Owls,4,5,Michelle Obama,Y
Netflix & Quill,4,5,Michelle Obama,Y
Quaranteam 2020,4,5,Michelle Obama,Y
Weens <();:::::::::::::::;~,4,5,Barack obama,
Zack and Hyejin,4,5,Michelle Obama ,Y
"5,000 Candles in the Wind",4,6,Harriet Tubman,
Bébé Yoda,4,6,Harriet tubman,
Blue Taran-dactyls,4,6,Harriet Tubman,
Days of Auld Lang-xiety,4,6,Susan B. Anthony,Y
Diminishing Returns,4,6,Susan B Anthony,Y
Losing 21 in 2021,4,6,susan b. anthony,Y
Mile High Owls,4,6,Harriet Tubman,
Netflix & Quill,4,6,Susan B Anthony,
Quaranteam 2020,4,6,Susan B Anthony,
Weens <();:::::::::::::::;~,4,6,No idea whatsoever Rosa parks maybe?,
Zack and Hyejin,4,6,Dwight schrute,
"5,000 Candles in the Wind",4,7,Dan and Eugene Levy,Y
Bébé Yoda,4,7,Eugene and dan levy,Y
Blue Taran-dactyls,4,7,Schitts Creek - Eugene and Dan Levy,Y
Days of Auld Lang-xiety,4,7,Eugene and Dan Levy,Y
Diminishing Returns,4,7,Dan and Eugene Levy,Y
Losing 21 in 2021,4,7,eugene & daniel levy,Y
Mile High Owls,4,7,Eugene and Daniel Levy,Y
Netflix & Quill,4,7,Dan & Eugene Levy,Y
Quaranteam 2020,4,7,Eugene Levy and Paul Levy,
Weens <();:::::::::::::::;~,4,7,Dan and eugene levy,Y
Zack and Hyejin,4,7,Eugene levy and  David levy,
"5,000 Candles in the Wind",4,8,Nicolas Cage,Y
Bébé Yoda,4,8,Franco,
Blue Taran-dactyls,4,8,David Spade,
Days of Auld Lang-xiety,4,8,David Spade,
Diminishing Returns,4,8,Ben Stiller,
Losing 21 in 2021,4,8,sean william scott,
Mile High Owls,4,8,Rob Lowe,
Netflix & Quill,4,8,Nicholas Cage,Y
Quaranteam 2020,4,8,Owen Wilson,
Weens <();:::::::::::::::;~,4,8,Dax Shepard ,
Zack and Hyejin,4,8,Nicholas cage,Y
"5,000 Candles in the Wind",4,9,Buenos Aires,
Bébé Yoda,4,9,Mexico city ,Y
Blue Taran-dactyls,4,9,"Traveso, Italy ",
Days of Auld Lang-xiety,4,9,San Diego,
Diminishing Returns,4,9,Santiago,
Losing 21 in 2021,4,9,bogota,
Mile High Owls,4,9,Santiago,
Netflix & Quill,4,9,Mexico,Y
Quaranteam 2020,4,9,Stockholm,
Weens <();:::::::::::::::;~,4,9,Sioux City ,
Zack and Hyejin,4,9,Buenos Aires ,
"5,000 Candles in the Wind",4,10,Bill Clinton,Y
Bébé Yoda,4,10,President bill clinton,Y
Blue Taran-dactyls,4,10,Bill Clinton ,Y
Days of Auld Lang-xiety,4,10,Bill Clinton,Y
Diminishing Returns,4,10,Clinton,Y
Losing 21 in 2021,4,10,bill clinton,Y
Mile High Owls,4,10,Bill Clinton,Y
Netflix & Quill,4,10,Clinton,Y
Quaranteam 2020,4,10,Bill Clinton,Y
Weens <();:::::::::::::::;~,4,10,Clinton ,Y
Zack and Hyejin,4,10,Bill Clinton ,Y
"5,000 Candles in the Wind",5,1,Devin Sawa,Y
Bébé Yoda,5,1,Rosie O'Donnell ,
Blue Taran-dactyls,5,1,Drew barrymore,
Days of Auld Lang-xiety,5,1,Nicholas Cage,
Diminishing Returns,5,1,Ingmar Bergman,
Losing 21 in 2021,5,1,devin sawa,Y
Mile High Owls,5,1,James Van Derbeek,
Netflix & Quill,5,1,Tom Cruise,
Quaranteam 2020,5,1,Freddie Prince Jr,
Weens <();:::::::::::::::;~,5,1,,
Zack and Hyejin,5,1,Devon sawa,Y
"5,000 Candles in the Wind",5,2,Bob Saget,Y
Bébé Yoda,5,2,Rosie O'Donnell ,
Blue Taran-dactyls,5,2,Bob saget,Y
Days of Auld Lang-xiety,5,2,Bob Saget,Y
Diminishing Returns,5,2,AOC,
Losing 21 in 2021,5,2,bob saget,Y
Mile High Owls,5,2,AOC,
